Record Length,2.50E+03,,0.00772,1.36,6.08
Sample Interval,2.00E-05,,0.00774,1.36,6.16
Trigger Point,-3.86E+02,,0.00776,1.36,6.08
,,,0.00778,1.36,6.08
,,,0.0078,1.36,6.08
,,,0.00782,1.36,6.08
Source,CH2,,0.00784,1.36,0.08
Vertical Units,V,,0.00786,1.36,0.08
Vertical Scale,1.00E+00,,0.00788,1.36,0
Vertical Offset,0.00E+00,,0.0079,1.4,0
Horizontal Units,s,,0.00792,1.36,0
Horizontal Scale,5.00E-03,,0.00794,1.36,0.08
Pt Fmt,Y,,0.00796,1.36,0.16
Yzero,0.00E+00,,0.00798,1.36,0.08
Probe Atten,1.00E+00,,0.008,1.36,0.08
Model Number,TDS2012B,,0.00802,1.36,0.08
Serial Number,C061486,,0.00804,1.36,0.08
Firmware Version,FV:v22.11,,0.00806,1.36,6
,,,0.00808,1.36,6.08
,,,0.0081,1.4,6.08
,,,0.00812,1.32,6.08
,,,0.00814,1.36,6.08
,,,0.00816,1.36,6.08
,,,0.00818,1.36,6.08
,,,0.0082,1.36,6.08
,,,0.00822,1.36,6.08
,,,0.00824,1.36,6.08
,,,0.00826,1.4,0.08
,,,0.00828,1.4,0
,,,0.0083,1.4,0
,,,0.00832,1.4,0.08
,,,0.00834,1.36,0
,,,0.00836,1.36,0.16
,,,0.00838,1.36,0.16
,,,0.0084,1.36,0.08
,,,0.00842,1.36,0.16
,,,0.00844,1.36,0.08
,,,0.00846,1.36,0.08
,,,0.00848,1.36,6
,,,0.0085,1.36,6.08
,,,0.00852,1.36,6.08
,,,0.00854,1.36,6.08
,,,0.00856,1.36,6.08
,,,0.00858,1.36,6.08
,,,0.0086,1.36,6.08
,,,0.00862,1.36,6.08
,,,0.00864,1.36,6.08
,,,0.00866,1.36,6.08
,,,0.00868,1.36,0.16
,,,0.0087,1.36,0
,,,0.00872,1.36,0
,,,0.00874,1.4,0.08
,,,0.00876,1.4,0
,,,0.00878,1.4,0.16
,,,0.0088,1.36,0.16
