x-axis,1,2,,
second,Volt,Volt,H£¨A/m£©,B/T
-4.63E-03,6.75E-01,5.84E-03,0.04512,0.08344
-4.62E-03,6.80E-01,5.92E-03,0.04545,0.08452
-4.61E-03,6.86E-01,5.98E-03,0.04587,0.08541
-4.61E-03,6.92E-01,6.03E-03,0.04629,0.08613
-4.60E-03,6.97E-01,6.12E-03,0.04663,0.08739
-4.60E-03,7.05E-01,6.18E-03,0.04713,0.08828
-4.59E-03,7.12E-01,6.27E-03,0.04764,0.08954
-4.59E-03,7.17E-01,6.33E-03,0.04797,0.09044
-4.58E-03,7.24E-01,6.43E-03,0.04839,0.09187
-4.58E-03,7.31E-01,6.47E-03,0.04890,0.09241
-4.57E-03,7.35E-01,6.53E-03,0.04915,0.09331
-4.57E-03,7.44E-01,6.66E-03,0.04974,0.09510
-4.56E-03,7.49E-01,6.71E-03,0.05008,0.09582
-4.56E-03,7.56E-01,6.77E-03,0.05058,0.09672
-4.55E-03,7.61E-01,6.87E-03,0.05092,0.09815
-4.55E-03,7.68E-01,6.93E-03,0.05134,0.09905
-4.54E-03,7.74E-01,7.00E-03,0.05176,0.09995
-4.54E-03,7.80E-01,7.09E-03,0.05218,0.10120
-4.53E-03,7.88E-01,7.16E-03,0.05268,0.10228
-4.53E-03,7.93E-01,7.24E-03,0.05302,0.10336
-4.52E-03,7.98E-01,7.36E-03,0.05335,0.10515
-4.52E-03,8.07E-01,7.39E-03,0.05394,0.10551
-4.51E-03,8.12E-01,7.44E-03,0.05428,0.10623
-4.51E-03,8.19E-01,7.54E-03,0.05478,0.10766
-4.50E-03,8.25E-01,7.61E-03,0.05520,0.10874
-4.49E-03,8.33E-01,7.66E-03,0.05570,0.10946
-4.49E-03,8.40E-01,7.75E-03,0.05621,0.11072
-4.48E-03,8.44E-01,7.84E-03,0.05646,0.11197
-4.48E-03,8.52E-01,7.86E-03,0.05696,0.11233
-4.47E-03,8.59E-01,7.98E-03,0.05747,0.11395
